id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	The					y
40001001002	40001001	book					y
40001001003	40001001	of					y
40001001004	40001001	the					y
40001001005	40001001	genealogy					y
40001001006	40001001	of					y
40001001007	40001001	Jesus					y
40001001008	40001001	Christ	y				y
40001001009	40001001	,		y			n
40001001010	40001001	son					y
40001001011	40001001	of					y
40001001012	40001001	David	y				y
40001001013	40001001	,		y			n
40001001014	40001001	son					y
40001001015	40001001	of					y
40001001016	40001001	Abraham	y				y
40001001017	40001001	:		y			n
40001002001	40001002	Abraham					y
40001002002	40001002	fathered					y
40001002003	40001002	Isaac	y				y
40001002004	40001002	,		y			n
40001002005	40001002	and					y
40001002006	40001002	Isaac					y
40001002007	40001002	fathered					y
40001002008	40001002	Jacob	y				y
40001002009	40001002	,		y			n
40001002010	40001002	and					y
40001002011	40001002	Jacob					y
40001002012	40001002	fathered					y
40001002013	40001002	Judah					y
40001002014	40001002	and					y
40001002015	40001002	his					y
40001002016	40001002	brothers	y				y
40001002017	40001002	,		y			n
40001003001	40001003	and					y
40001003002	40001003	Judah					y
40001003003	40001003	fathered					y
40001003004	40001003	Perez					y
40001003005	40001003	and					y
40001003006	40001003	Zerah					y
40001003007	40001003	by					y
40001003008	40001003	Tamar	y				y
40001003009	40001003	,		y			n
40001003010	40001003	and					y
40001003011	40001003	Perez					y
40001003012	40001003	fathered					y
40001003013	40001003	Hezrom	y				y
40001003014	40001003	,		y			n
40001003015	40001003	and					y
40001003016	40001003	Hezrom					y
40001003017	40001003	fathered					y
40001003018	40001003	Aram	y				y
40001003019	40001003	,		y			n
40001004001	40001004	and					y
40001004002	40001004	Aram					y
40001004003	40001004	fathered					y
40001004004	40001004	Amminadab	y				y
40001004005	40001004	,		y			n
40001004006	40001004	and					y
40001004007	40001004	Amminadab					y
40001004008	40001004	fathered					y
40001004009	40001004	Nahshon	y				y
40001004010	40001004	,		y			n
40001004011	40001004	and					y
40001004012	40001004	Nahshon					y
40001004013	40001004	fathered					y
40001004014	40001004	Salmon	y				y
40001004015	40001004	,		y			n
40001005001	40001005	and					y
40001005002	40001005	Salmon					y
40001005003	40001005	fathered					y
40001005004	40001005	Boaz					y
40001005005	40001005	by					y
40001005006	40001005	Rahab	y				y
40001005007	40001005	,		y			n
40001005008	40001005	and					y
40001005009	40001005	Boaz					y
40001005010	40001005	fathered					y
40001005011	40001005	Obed					y
40001005012	40001005	by					y
40001005013	40001005	Ruth	y				y
40001005014	40001005	,		y			n
40001005015	40001005	and					y
40001005016	40001005	Obed					y
40001005017	40001005	fathered					y
40001005018	40001005	Jesse	y				y
40001005019	40001005	,		y			n
40001006001	40001006	and					y
40001006002	40001006	Jesse					y
40001006003	40001006	fathered					y
40001006004	40001006	David					y
40001006005	40001006	the					y
40001006006	40001006	king	y				y
40001006007	40001006	,		y			n
40001006008	40001006	and					y
40001006009	40001006	David					y
40001006010	40001006	fathered					y
40001006011	40001006	Solomon					y
40001006012	40001006	by					y
40001006013	40001006	the					y
40001006014	40001006	{	y	y			n
40001006015	40001006	wife	y				y
40001006016	40001006	}		y			n
40001006017	40001006	of					y
40001006018	40001006	Uriah	y				y
40001006019	40001006	,		y			n
40001007001	40001007	and					y
40001007002	40001007	Solomon					y
40001007003	40001007	fathered					y
40001007004	40001007	Rehoboam	y				y
40001007005	40001007	,		y			n
40001007006	40001007	and					y
40001007007	40001007	Rehoboam					y
40001007008	40001007	fathered					y
40001007009	40001007	Abijah	y				y
40001007010	40001007	,		y			n
40001007011	40001007	and					y
40001007012	40001007	Abijah					y
40001007013	40001007	fathered					y
40001007014	40001007	Asaph	y				y
40001007015	40001007	,		y			n
40001008001	40001008	and					y
40001008002	40001008	Asaph					y
40001008003	40001008	fathered					y
40001008004	40001008	Jehoshaphat	y				y
40001008005	40001008	,		y			n
40001008006	40001008	and					y
40001008007	40001008	Jehoshaphat					y
40001008008	40001008	fathered					y
40001008009	40001008	Joram	y				y
40001008010	40001008	,		y			n
40001008011	40001008	and					y
40001008012	40001008	Joram					y
40001008013	40001008	fathered					y
40001008014	40001008	Ozias	y				y
40001008015	40001008	,		y			n
40001009001	40001009	and					y
40001009002	40001009	Ozias					y
40001009003	40001009	fathered					y
40001009004	40001009	Jotham	y				y
40001009005	40001009	,		y			n
40001009006	40001009	and					y
40001009007	40001009	Jotham					y
40001009008	40001009	fathered					y
40001009009	40001009	Ahaz	y				y
40001009010	40001009	,		y			n
40001009011	40001009	and					y
40001009012	40001009	Ahaz					y
40001009013	40001009	fathered					y
40001009014	40001009	Hezekiah	y				y
40001009015	40001009	,		y			n
40001010001	40001010	and					y
40001010002	40001010	Hezekiah					y
40001010003	40001010	fathered					y
40001010004	40001010	Manasseh	y				y
40001010005	40001010	,		y			n
40001010006	40001010	and					y
40001010007	40001010	Manasseh					y
40001010008	40001010	fathered					y
40001010009	40001010	Amos	y				y
40001010010	40001010	,		y			n
40001010011	40001010	and					y
40001010012	40001010	Amos					y
40001010013	40001010	fathered					y
40001010014	40001010	Josiah	y				y
40001010015	40001010	,		y			n
40001011001	40001011	and					y
40001011002	40001011	Josiah					y
40001011003	40001011	fathered					y
40001011004	40001011	Jechoniah					y
40001011005	40001011	and					y
40001011006	40001011	his					y
40001011007	40001011	brothers					y
40001011008	40001011	at					y
40001011009	40001011	the					y
40001011010	40001011	Babylonian					y
40001011011	40001011	deportation	y				y
40001011012	40001011	,		y			n
40001012001	40001012	and					y
40001012002	40001012	after					y
40001012003	40001012	the					y
40001012004	40001012	Babylonian					y
40001012005	40001012	deportation	y				y
40001012006	40001012	,		y			n
40001012007	40001012	Jechoniah					y
40001012008	40001012	fathered					y
40001012009	40001012	Salathiel	y				y
40001012010	40001012	,		y			n
40001012011	40001012	and					y
40001012012	40001012	Salathiel					y
40001012013	40001012	fathered					y
40001012014	40001012	Zerubbabel	y				y
40001012015	40001012	,		y			n
40001013001	40001013	and					y
40001013002	40001013	Zerubbabel					y
40001013003	40001013	fathered					y
40001013004	40001013	Abiud	y				y
40001013005	40001013	,		y			n
40001013006	40001013	and					y
40001013007	40001013	Abiud					y
40001013008	40001013	fathered					y
40001013009	40001013	Eliakim	y				y
40001013010	40001013	,		y			n
40001013011	40001013	and					y
40001013012	40001013	Eliakim					y
40001013013	40001013	fathered					y
40001013014	40001013	Azor	y				y
40001013015	40001013	,		y			n
40001014001	40001014	and					y
40001014002	40001014	Azor					y
40001014003	40001014	fathered					y
40001014004	40001014	Zadok	y				y
40001014005	40001014	,		y			n
40001014006	40001014	and					y
40001014007	40001014	Zadok					y
40001014008	40001014	fathered					y
40001014009	40001014	Achim	y				y
40001014010	40001014	,		y			n
40001014011	40001014	and					y
40001014012	40001014	Achim					y
40001014013	40001014	fathered					y
40001014014	40001014	Eliud	y				y
40001014015	40001014	,		y			n
40001015001	40001015	and					y
40001015002	40001015	Eliud					y
40001015003	40001015	fathered					y
40001015004	40001015	Eleazar	y				y
40001015005	40001015	,		y			n
40001015006	40001015	and					y
40001015007	40001015	Eleazar					y
40001015008	40001015	fathered					y
40001015009	40001015	Matthan	y				y
40001015010	40001015	,		y			n
40001015011	40001015	and					y
40001015012	40001015	Matthan					y
40001015013	40001015	fathered					y
40001015014	40001015	Jacob	y				y
40001015015	40001015	,		y			n
40001016001	40001016	and					y
40001016002	40001016	Jacob					y
40001016003	40001016	fathered					y
